model,criterion,requested_coverage,coverage,accepted_n,referred_n,risk,accepted_acc,accepted_f1,accepted_acc_ci_low,accepted_acc_ci_high
baseline,free_energy,1.0,1.0,600,0,0.375,0.625,0.7692307692307693,0.5855828242149006,0.6628267505316743
classical_control,entropy,0.1,0.1,60,540,0.033333333333333326,0.9666666666666667,0.9830508474576272,0.886362257256914,0.9908106807438021
classical_control,free_energy,0.1,0.1,60,540,0.033333333333333326,0.9666666666666667,0.9830508474576272,0.886362257256914,0.9908106807438021
classical_control,entropy,0.15000000000000002,0.15,90,510,0.05555555555555558,0.9444444444444444,0.9714285714285714,0.8764626377820048,0.976039028383038
classical_control,free_energy,0.15000000000000002,0.15,90,510,0.0444444444444444,0.9555555555555556,0.9772727272727273,0.8912314496718777,0.9825827581472913
classical_control,entropy,0.2,0.2,120,480,0.04166666666666663,0.9583333333333334,0.9787234042553191,0.9061591476629647,0.9820732831198906
classical_control,free_energy,0.2,0.2,120,480,0.050000000000000044,0.95,0.9743589743589743,0.8951971146376326,0.9768856355855343
classical_control,entropy,0.25,0.25,150,450,0.046666666666666634,0.9533333333333334,0.9761092150170648,0.9068135276008725,0.9772134508387381
classical_control,free_energy,0.25,0.25,150,450,0.046666666666666634,0.9533333333333334,0.9761092150170648,0.9068135276008725,0.9772134508387381
classical_control,entropy,0.30000000000000004,0.3,180,420,0.050000000000000044,0.95,0.9743589743589743,0.9077191903535553,0.9734748615169928
classical_control,free_energy,0.30000000000000004,0.3,180,420,0.050000000000000044,0.95,0.9743589743589743,0.9077191903535553,0.9734748615169928
classical_control,entropy,0.35,0.35,210,390,0.06190476190476191,0.9380952380952381,0.9680589680589681,0.8969814042650159,0.9634691417363739
classical_control,free_energy,0.35,0.35,210,390,0.06190476190476191,0.9380952380952381,0.9680589680589681,0.8969814042650159,0.9634691417363739
classical_control,entropy,0.4,0.4,240,360,0.0708333333333333,0.9291666666666667,0.9632829373650108,0.8895031557540064,0.9553080629628224
classical_control,free_energy,0.4,0.4,240,360,0.0708333333333333,0.9291666666666667,0.9632829373650108,0.8895031557540064,0.9553080629628224
classical_control,entropy,0.45000000000000007,0.45,270,330,0.07777777777777772,0.9222222222222223,0.958904109589041,0.8840302452118132,0.9485682991499076
classical_control,free_energy,0.45000000000000007,0.45,270,330,0.07777777777777772,0.9222222222222223,0.958904109589041,0.8840302452118132,0.9485682991499076
classical_control,entropy,0.5,0.5,300,300,0.07333333333333336,0.9266666666666666,0.9580152671755725,0.8914686583942826,0.9510760061607713
classical_control,free_energy,0.5,0.5,300,300,0.07333333333333336,0.9266666666666666,0.9580152671755725,0.8914686583942826,0.9510760061607713
classical_control,entropy,0.55,0.55,330,270,0.0757575757575758,0.9242424242424242,0.9529190207156308,0.8905593352717406,0.9481621374569885
classical_control,free_energy,0.55,0.55,330,270,0.0757575757575758,0.9242424242424242,0.9532710280373832,0.8905593352717406,0.9481621374569885
classical_control,entropy,0.6,0.6,360,240,0.0805555555555556,0.9194444444444444,0.9465930018416207,0.8867032329434203,0.9433286193332866
classical_control,free_energy,0.6,0.6,360,240,0.0805555555555556,0.9194444444444444,0.9465930018416207,0.8867032329434203,0.9433286193332866
classical_control,entropy,0.65,0.65,390,210,0.0871794871794872,0.9128205128205128,0.9381818181818182,0.8806440729021571,0.936943798532674
classical_control,free_energy,0.65,0.65,390,210,0.0871794871794872,0.9128205128205128,0.9381818181818182,0.8806440729021571,0.936943798532674
classical_control,entropy,0.7000000000000001,0.7,420,180,0.09523809523809523,0.9047619047619048,0.9293286219081273,0.8729076621941513,0.929279082222083
classical_control,free_energy,0.7000000000000001,0.7,420,180,0.09523809523809523,0.9047619047619048,0.9293286219081273,0.8729076621941513,0.929279082222083
classical_control,entropy,0.75,0.75,450,150,0.10444444444444445,0.8955555555555555,0.918825561312608,0.8638714861888324,0.9205434082217954
classical_control,free_energy,0.75,0.75,450,150,0.10222222222222221,0.8977777777777778,0.9204152249134948,0.8663371940023316,0.9224845256577939
classical_control,entropy,0.8,0.8,480,120,0.11250000000000004,0.8875,0.9102990033222591,0.8561007578225626,0.912746130384797
classical_control,free_energy,0.8,0.8,480,120,0.11250000000000004,0.8875,0.9102990033222591,0.8561007578225626,0.912746130384797
classical_control,entropy,0.85,0.85,510,90,0.1333333333333333,0.8666666666666667,0.8903225806451613,0.8344059457959738,0.893445015974139
